OrderDate,Product,Region,Age,Revenue,Quantity,CustomerID,Category
2023-01-01 00:00:00,Phone,South,18,3839,3,1099,Electronics
2023-01-01 01:00:00,Tablet,East,18,2119,7,1077,Electronics
2023-01-01 02:00:00,Tablet,South,54,2587,1,1009,Electronics
2023-01-01 03:00:00,Mouse,East,38,2320,10,1038,Accessories
2023-01-01 04:00:00,Smartwatch,West,32,953,3,1075,Wearables
2023-01-01 05:00:00,Tablet,West,47,404,1,1076,Electronics
2023-01-01 06:00:00,Laptop,West,29,3751,4,1086,Electronics
2023-01-01 07:00:00,Monitor,East,30,3351,4,1078,Electronics
2023-01-01 08:00:00,Tablet,West,35,4813,2,1046,Electronics
2023-01-01 09:00:00,Tablet,East,45,1445,5,1074,Electronics
2023-01-01 10:00:00,Laptop,North,23,3540,7,1098,Electronics
2023-01-01 11:00:00,Tablet,South,46,1159,6,1097,Electronics
2023-01-01 12:00:00,Smartwatch,North,45,3208,7,1058,Wearables
2023-01-01 13:00:00,Laptop,East,60,2862,6,1061,Electronics
2023-01-01 14:00:00,Mouse,West,27,2383,8,1006,Accessories
2023-01-01 15:00:00,Keyboard,West,32,1952,2,1030,Accessories
2023-01-01 16:00:00,Tablet,East,25,2488,7,1013,Electronics
2023-01-01 17:00:00,Tablet,South,31,3752,7,1090,Electronics
2023-01-01 18:00:00,Monitor,West,30,2955,6,1062,Electronics
2023-01-01 19:00:00,Smartwatch,North,44,4703,8,1001,Wearables
2023-01-01 20:00:00,Monitor,South,25,943,9,1047,Electronics
2023-01-01 21:00:00,Keyboard,West,18,3253,2,1055,Accessories
2023-01-01 22:00:00,Tablet,East,59,303,4,1069,Electronics
2023-01-01 23:00:00,Smartwatch,North,57,2172,1,1085,Wearables
2023-01-02 00:00:00,Laptop,East,34,2093,5,1093,Electronics
2023-01-02 01:00:00,Tablet,West,36,2842,10,1017,Electronics
2023-01-02 02:00:00,Mouse,South,23,4799,10,1048,Accessories
2023-01-02 03:00:00,Tablet,West,45,4272,6,1071,Electronics
2023-01-02 04:00:00,Headphones,West,37,1764,1,1026,Accessories
2023-01-02 05:00:00,Smartwatch,West,26,4274,5,1024,Wearables
2023-01-02 06:00:00,Headphones,South,30,2748,4,1006,Accessories
2023-01-02 07:00:00,Laptop,North,24,4700,9,1009,Electronics
2023-01-02 08:00:00,Tablet,East,42,493,10,1035,Electronics
2023-01-02 09:00:00,Laptop,East,40,3835,7,1028,Electronics
2023-01-02 10:00:00,Phone,South,35,4738,5,1043,Electronics
2023-01-02 11:00:00,Tablet,West,36,3565,2,1040,Electronics
2023-01-02 12:00:00,Headphones,North,25,3030,7,1048,Accessories
2023-01-02 13:00:00,Smartwatch,East,30,4197,5,1050,Wearables
2023-01-02 14:00:00,Headphones,East,47,2624,6,1025,Accessories
2023-01-02 15:00:00,Laptop,East,29,3740,1,1051,Electronics
2023-01-02 16:00:00,Keyboard,West,47,4206,9,1061,Accessories
2023-01-02 17:00:00,Tablet,West,48,1876,7,1079,Electronics
2023-01-02 18:00:00,Mouse,West,60,4120,3,1066,Accessories
2023-01-02 19:00:00,Monitor,West,42,2752,10,1066,Electronics
2023-01-02 20:00:00,Smartwatch,West,51,3463,6,1088,Wearables
2023-01-02 21:00:00,Mouse,East,41,4573,4,1030,Accessories
